sample,date,time,ID,neo_nmol_SG,datetime1,group,sex,age,repro,max_t_days1,max_t_days10,max_t_days11,max_t_days12,max_t_days13,max_t_days14,max_t_days15,max_t_days16,max_t_days17,max_t_days18,max_t_days19,max_t_days2,max_t_days20,max_t_days21,max_t_days28,max_t_days3,max_t_days35,max_t_days5,max_t_days7,max_t_days9,min_t_days1,min_t_days10,min_t_days11,min_t_days12,min_t_days13,min_t_days14,min_t_days15,min_t_days16,min_t_days17,min_t_days18,min_t_days19,min_t_days2,min_t_days20,min_t_days21,min_t_days28,min_t_days3,min_t_days35,min_t_days5,min_t_days7,min_t_days9,rain_days1,rain_days2,rain_days3,rain_days4
504,2022-11-22,08:50:00,MOZ,536.9172165680666,2022-11-22T08:50:00Z,Mesas,M,12.4,M,26.795677083333334,27.082660984848484,26.96692708333333,26.88168269230769,26.77814732142857,26.686819444444446,26.506139322916667,26.36811274509804,26.280613425925925,26.23043311403509,26.2191875,26.955,26.25127976190476,26.28245265151515,26.560075431034484,26.8615625,26.65992766203704,27.244184027777777,27.303606770833333,27.133125,26.32598958333333,26.584649621212122,26.473012152777777,26.387588141025642,26.285282738095237,26.192138888888888,26.02159505208333,25.89436274509804,25.811192129629628,25.763815789473682,25.751994791666664,26.48503472222222,25.78079365079365,25.810511363636362,26.080495689655173,26.391848958333334,26.175231481481482,26.76310763888889,26.815455729166665,26.63233333333333,0.0020833333333333368,0.0013888888888888922,0.0010416666666666688,8.333333333333348e-4
505,2022-11-22,10:40:00,MEZ,438.5332990701601,2022-11-22T10:40:00Z,Mesas,F,20.4,Pregnant,26.795677083333334,27.082660984848484,26.96692708333333,26.88168269230769,26.77814732142857,26.686819444444446,26.506139322916667,26.36811274509804,26.280613425925925,26.23043311403509,26.2191875,26.955,26.25127976190476,26.28245265151515,26.560075431034484,26.8615625,26.65992766203704,27.244184027777777,27.303606770833333,27.133125,26.32598958333333,26.584649621212122,26.473012152777777,26.387588141025642,26.285282738095237,26.192138888888888,26.02159505208333,25.89436274509804,25.811192129629628,25.763815789473682,25.751994791666664,26.48503472222222,25.78079365079365,25.810511363636362,26.080495689655173,26.391848958333334,26.175231481481482,26.76310763888889,26.815455729166665,26.63233333333333,0.0020833333333333368,0.0013888888888888922,0.0010416666666666688,8.333333333333348e-4
506,2022-11-22,11:03:00,MOS,387.4739348036614,2022-11-22T11:03:00Z,Mesas,M,9.4,M,26.795677083333334,27.082660984848484,26.96692708333333,26.88168269230769,26.77814732142857,26.686819444444446,26.506139322916667,26.36811274509804,26.280613425925925,26.23043311403509,26.2191875,26.955,26.25127976190476,26.28245265151515,26.560075431034484,26.8615625,26.65992766203704,27.244184027777777,27.303606770833333,27.133125,26.32598958333333,26.584649621212122,26.473012152777777,26.387588141025642,26.285282738095237,26.192138888888888,26.02159505208333,25.89436274509804,25.811192129629628,25.763815789473682,25.751994791666664,26.48503472222222,25.78079365079365,25.810511363636362,26.080495689655173,26.391848958333334,26.175231481481482,26.76310763888889,26.815455729166665,26.63233333333333,0.0020833333333333368,0.0013888888888888922,0.0010416666666666688,8.333333333333348e-4
507,2022-11-22,10:38:00,MUL,349.4629443787108,2022-11-22T10:38:00Z,Mesas,F,11.4,Lactating,26.795677083333334,27.082660984848484,26.96692708333333,26.88168269230769,26.77814732142857,26.686819444444446,26.506139322916667,26.36811274509804,26.280613425925925,26.23043311403509,26.2191875,26.955,26.25127976190476,26.28245265151515,26.560075431034484,26.8615625,26.65992766203704,27.244184027777777,27.303606770833333,27.133125,26.32598958333333,26.584649621212122,26.473012152777777,26.387588141025642,26.285282738095237,26.192138888888888,26.02159505208333,25.89436274509804,25.811192129629628,25.763815789473682,25.751994791666664,26.48503472222222,25.78079365079365,25.810511363636362,26.080495689655173,26.391848958333334,26.175231481481482,26.76310763888889,26.815455729166665,26.63233333333333,0.0020833333333333368,0.0013888888888888922,0.0010416666666666688,8.333333333333348e-4
508,2022-11-22,09:37:00,MYK,561.549761893503,2022-11-22T09:37:00Z,Mesas,M,1.8,M,26.795677083333334,27.082660984848484,26.96692708333333,26.88168269230769,26.77814732142857,26.686819444444446,26.506139322916667,26.36811274509804,26.280613425925925,26.23043311403509,26.2191875,26.955,26.25127976190476,26.28245265151515,26.560075431034484,26.8615625,26.65992766203704,27.244184027777777,27.303606770833333,27.133125,26.32598958333333,26.584649621212122,26.473012152777777,26.387588141025642,26.285282738095237,26.192138888888888,26.02159505208333,25.89436274509804,25.811192129629628,25.763815789473682,25.751994791666664,26.48503472222222,25.78079365079365,25.810511363636362,26.080495689655173,26.391848958333334,26.175231481481482,26.76310763888889,26.815455729166665,26.63233333333333,0.0020833333333333368,0.0013888888888888922,0.0010416666666666688,8.333333333333348e-4
510,2022-11-22,09:04:00,MUS,698.5494745562122,2022-11-22T09:04:00Z,Mesas,F,4.6,juv,26.795677083333334,27.082660984848484,26.96692708333333,26.88168269230769,26.77814732142857,26.686819444444446,26.506139322916667,26.36811274509804,26.280613425925925,26.23043311403509,26.2191875,26.955,26.25127976190476,26.28245265151515,26.560075431034484,26.8615625,26.65992766203704,27.244184027777777,27.303606770833333,27.133125,26.32598958333333,26.584649621212122,26.473012152777777,26.387588141025642,26.285282738095237,26.192138888888888,26.02159505208333,25.89436274509804,25.811192129629628,25.763815789473682,25.751994791666664,26.48503472222222,25.78079365079365,25.810511363636362,26.080495689655173,26.391848958333334,26.175231481481482,26.76310763888889,26.815455729166665,26.63233333333333,0.0020833333333333368,0.0013888888888888922,0.0010416666666666688,8.333333333333348e-4
511,2022-11-22,10:05:00,MAY,1264.7517159763768,2022-11-22T10:05:00Z,Mesas,F,3.9,juv,26.795677083333334,27.082660984848484,26.96692708333333,26.88168269230769,26.77814732142857,26.686819444444446,26.506139322916667,26.36811274509804,26.280613425925925,26.23043311403509,26.2191875,26.955,26.25127976190476,26.28245265151515,26.560075431034484,26.8615625,26.65992766203704,27.244184027777777,27.303606770833333,27.133125,26.32598958333333,26.584649621212122,26.473012152777777,26.387588141025642,26.285282738095237,26.192138888888888,26.02159505208333,25.89436274509804,25.811192129629628,25.763815789473682,25.751994791666664,26.48503472222222,25.78079365079365,25.810511363636362,26.080495689655173,26.391848958333334,26.175231481481482,26.76310763888889,26.815455729166665,26.63233333333333,0.0020833333333333368,0.0013888888888888922,0.0010416666666666688,8.333333333333348e-4
512,2022-11-22,08:39:00,TUC,2905.541218934908,2022-11-22T08:39:00Z,Tenori,M,0.4,M,26.795677083333334,27.082660984848484,26.96692708333333,26.88168269230769,26.77814732142857,26.686819444444446,26.506139322916667,26.36811274509804,26.280613425925925,26.23043311403509,26.2191875,26.955,26.25127976190476,26.28245265151515,26.560075431034484,26.8615625,26.65992766203704,27.244184027777777,27.303606770833333,27.133125,26.32598958333333,26.584649621212122,26.473012152777777,26.387588141025642,26.285282738095237,26.192138888888888,26.02159505208333,25.89436274509804,25.811192129629628,25.763815789473682,25.751994791666664,26.48503472222222,25.78079365079365,25.810511363636362,26.080495689655173,26.391848958333334,26.175231481481482,26.76310763888889,26.815455729166665,26.63233333333333,0.0020833333333333368,0.0013888888888888922,0.0010416666666666688,8.333333333333348e-4
513,2022-11-22,08:55:00,TAN,565.5246958579876,2022-11-22T08:55:00Z,Tenori,F,5.7,juv,26.795677083333334,27.082660984848484,26.96692708333333,26.88168269230769,26.77814732142857,26.686819444444446,26.506139322916667,26.36811274509804,26.280613425925925,26.23043311403509,26.2191875,26.955,26.25127976190476,26.28245265151515,26.560075431034484,26.8615625,26.65992766203704,27.244184027777777,27.303606770833333,27.133125,26.32598958333333,26.584649621212122,26.473012152777777,26.387588141025642,26.285282738095237,26.192138888888888,26.02159505208333,25.89436274509804,25.811192129629628,25.763815789473682,25.751994791666664,26.48503472222222,25.78079365079365,25.810511363636362,26.080495689655173,26.391848958333334,26.175231481481482,26.76310763888889,26.815455729166665,26.63233333333333,0.0020833333333333368,0.0013888888888888922,0.0010416666666666688,8.333333333333348e-4
515,2022-11-22,13:10:00,MIL,701.8677105143429,2022-11-22T13:10:00Z,Mesas,F,5.9,Pregnant,26.795677083333334,27.082660984848484,26.96692708333333,26.88168269230769,26.77814732142857,26.686819444444446,26.506139322916667,26.36811274509804,26.280613425925925,26.23043311403509,26.2191875,26.955,26.25127976190476,26.28245265151515,26.560075431034484,26.8615625,26.65992766203704,27.244184027777777,27.303606770833333,27.133125,26.32598958333333,26.584649621212122,26.473012152777777,26.387588141025642,26.285282738095237,26.192138888888888,26.02159505208333,25.89436274509804,25.811192129629628,25.763815789473682,25.751994791666664,26.48503472222222,25.78079365079365,25.810511363636362,26.080495689655173,26.391848958333334,26.175231481481482,26.76310763888889,26.815455729166665,26.63233333333333,0.0020833333333333368,0.0013888888888888922,0.0010416666666666688,8.333333333333348e-4
